,Q_Learning,SARSA,SARSA_PIES
903,30.0,26.7,54.9
904,29.7,29.0,54.1
905,27.1,27.1,56.5
906,30.8,30.1,54.6
907,28.5,27.8,53.9
908,28.7,31.2,53.7
909,29.7,27.5,52.6
910,27.8,27.9,58.0
911,27.3,30.8,56.5
912,26.8,29.2,54.4
913,30.3,30.3,52.7
914,29.2,30.1,52.2
915,29.3,27.7,58.1
916,31.0,29.4,54.0
917,27.4,28.7,52.9
918,28.7,29.0,57.0
919,30.5,29.7,53.9
920,27.2,28.2,54.1
921,30.0,28.5,53.9
922,30.5,28.5,55.5
923,29.2,27.6,53.6
924,30.4,29.4,53.3
925,30.3,28.7,55.4
926,29.6,30.7,52.8
927,27.5,27.5,54.0
928,27.9,27.9,53.3
929,29.7,29.9,53.1
930,27.1,26.9,55.0
931,26.1,26.5,53.8
932,30.3,28.0,54.9
933,27.4,27.3,54.5
934,32.2,29.7,53.9
935,30.4,30.7,54.5
936,27.7,27.7,52.6
937,28.3,28.8,59.0
938,27.0,30.4,54.4
939,27.9,28.0,55.4
940,27.7,30.2,53.7
941,28.9,31.0,54.3
942,28.0,29.4,50.8
943,28.5,28.3,53.1
944,27.1,28.7,57.5
945,27.2,28.8,60.7
946,29.4,27.7,58.7
947,27.7,29.7,54.4
948,27.7,31.1,55.9
949,30.5,28.5,55.4
950,27.3,28.8,56.2
951,29.0,27.7,51.6
952,30.7,27.9,53.9
953,28.8,30.6,52.0
954,27.6,32.4,55.0
955,30.1,29.2,56.8
956,28.9,27.9,52.8
957,31.0,29.9,54.6
958,28.8,27.4,54.5
959,27.5,28.6,54.3
960,29.0,27.8,56.1
961,28.6,30.2,55.5
962,29.2,29.9,52.8
963,27.8,28.3,54.2
964,30.8,27.6,55.3
965,29.4,30.0,53.5
966,28.7,30.8,54.2
967,29.9,29.7,53.3
968,26.5,28.0,51.8
969,27.2,28.8,56.1
970,29.7,26.8,56.0
971,27.2,26.2,54.4
972,29.5,30.2,54.1
973,30.6,28.2,54.3
974,28.2,28.3,54.6
975,27.5,26.3,54.3
976,26.8,26.7,53.9
977,29.3,26.7,53.3
978,27.0,30.8,57.1
979,29.2,29.4,55.2
980,30.2,30.3,50.5
981,29.7,30.6,54.1
982,28.8,28.9,53.6
983,32.3,27.9,53.9
984,26.7,26.7,52.6
985,27.8,30.9,51.2
986,29.4,27.1,55.1
987,28.7,28.0,53.1
988,28.2,32.4,54.6
989,28.1,27.2,53.0
990,28.6,33.5,57.6
991,28.5,28.4,52.2
